contextes,questions,réponses
"(1)
(2)
(3)
(4)
(5)
vu le traité sur le fonctionnement de l'Union européenne, et notamment son article 16,
vu la proposition de la Commission européenne,
après transmission du projet d'acte législatif aux parlements nationaux,
vu l'avis du Comité économique et social européen,
vu l'avis du Comité des régions,
statuant conformément à la procédure législative ordinaire,
considérant ce qui suit:
La protection des personnes physiques à l'égard du traitement des données à caractère personnel est un droit
fondamental. L'article 8, paragraphe 1, de la Charte des droits fondamentaux de l'Union européenne (ci-après
dénommée «Charte») et l'article 16, paragraphe 1, du traité sur le fonctionnement de l'Union européenne disposent
que toute personne a droit à la protection des données à caractère personnel la concernant.
Les principes et les règles régissant la protection des personnes physiques à l'égard du traitement des données à",Quel droit fondamental est mentionné dans le contexte concernant la protection des données personnelles?,La protection des personnes physiques à l'égard du traitement des données à caractère personnel est un droit fondamental.
"Les principes et les règles régissant la protection des personnes physiques à l'égard du traitement des données à
caractère personnel les concernant devraient, quelle que soit la nationalité ou la résidence de ces personnes physiques,
respecter leurs libertés et droits fondamentaux, en particulier leur droit à la protection des données à caractère
personnel. Le présent règlement vise à contribuer à la réalisation d'un espace de liberté, de sécurité et de justice et
d'une union économique, au progrès économique et social, à la consolidation et à la convergence des économies au
sein du marché intérieur, ainsi qu'au bien-être des personnes physiques.
La directive 95/46/CE du Parlement européen et du Conseil vise à harmoniser la protection des libertés et droits
fondamentaux des personnes physiques en ce qui concerne les activités de traitement et à assurer le libre flux des
données à caractère personnel entre les États membres.",Quel est l'objectif principal du règlement mentionné dans le texte ?,"Le règlement vise à contribuer à la réalisation d'un espace de liberté, de sécurité et de justice, d'une union économique, au progrès économique et social, à la consolidation et à la convergence des économies au sein du marché intérieur, ainsi qu'au bien-être des personnes physiques."
"fondamentaux des personnes physiques en ce qui concerne les activités de traitement et à assurer le libre flux des
données à caractère personnel entre les États membres.
Le traitement des données à caractère personnel devrait être conçu pour servir l'humanité. Le droit à la protection des
données à caractère personnel n'est pas un droit absolu; il doit être considéré par rapport à sa fonction dans la société
et être mis en balance avec d'autres droits fondamentaux, conformément au principe de proportionnalité. Le présent
règlement respecte tous les droits fondamentaux et observe les libertés et les principes reconnus par la Charte,
consacrés par les traités, en particulier le respect de la vie privée et familiale, du domicile et des communications, la
protection des données à caractère personnel, la liberté de pensée, de conscience et de religion, la liberté d'expression",Comment le droit à la protection des données à caractère personnel est-il considéré dans le contexte des droits fondamentaux ?,"Le droit à la protection des données à caractère personnel n'est pas un droit absolu; il doit être mis en balance avec d'autres droits fondamentaux, conformément au principe de proportionnalité."
"protection des données à caractère personnel, la liberté de pensée, de conscience et de religion, la liberté d'expression
et d'information, la liberté d'entreprise, le droit à un recours effectif et à accéder à un tribunal impartial, et la diversité
culturelle, religieuse et linguistique.
L'intégration économique et sociale résultant du fonctionnement du marché intérieur a conduit à une augmentation
substantielle des flux transfrontaliers de données à caractère personnel. Les échanges de données à caractère
personnel entre acteurs publics et privés, y compris les personnes physiques, les associations et les entreprises, se sont
intensifiés dans l'ensemble de l'Union. Le droit de l'Union appelle les autorités nationales des États membres à
coopérer et à échanger des données à caractère personnel, afin d'être en mesure de remplir leurs missions ou
d'accomplir des tâches pour le compte d'une autorité d'un autre État membre.",Quel impact a eu le fonctionnement du marché intérieur sur les flux de données à caractère personnel dans l'Union ?,Le fonctionnement du marché intérieur a conduit à une augmentation substantielle des flux transfrontaliers de données à caractère personnel.
"coopérer et à échanger des données à caractère personnel, afin d'être en mesure de remplir leurs missions ou
d'accomplir des tâches pour le compte d'une autorité d'un autre État membre.
15/07/2025 10:16 Le règlement général sur la protection des données - RGPD | CNIL
https://www.cnil.fr/fr/reglement-europeen-protection-donnees 5/47",Quel est l'objectif principal de l'échange de données à caractère personnel entre les autorités des États membres selon le contexte donné ?,L'objectif principal est de permettre aux autorités de remplir leurs missions ou d'accomplir des tâches pour le compte d'une autorité d'un autre État membre.
"(6)
(7)
(8)
(9)
(10)
L'évolution rapide des technologies et la mondialisation ont créé de nouveaux enjeux pour la protection des données à
caractère personnel. L'ampleur de la collecte et du partage de données à caractère personnel a augmenté de manière
importante. Les technologies permettent tant aux entreprises privées qu'aux autorités publiques d'utiliser les données
à caractère personnel comme jamais auparavant dans le cadre de leurs activités. De plus en plus, les personnes
physiques rendent des informations les concernant accessibles publiquement et à un niveau mondial. Les
technologies ont transformé à la fois l'économie et les rapports sociaux, et elles devraient encore faciliter le libre flux
des données à caractère personnel au sein de l'Union et leur transfert vers des pays tiers et à des organisations
internationales, tout en assurant un niveau élevé de protection des données à caractère personnel.",Quels sont les défis posés par l'évolution rapide des technologies et la mondialisation en matière de protection des données personnelles ?,"L'évolution rapide des technologies et la mondialisation ont créé de nouveaux enjeux pour la protection des données à caractère personnel, notamment en raison de l'augmentation de la collecte et du partage de ces données par les entreprises privées et les autorités publiques, ainsi que de la mise à disposition publique et mondiale d'informations personnelles par les individus."
"internationales, tout en assurant un niveau élevé de protection des données à caractère personnel.
Ces évolutions requièrent un cadre de protection des données solide et plus cohérent dans l'Union, assorti d'une
application rigoureuse des règles, car il importe de susciter la confiance qui permettra à l'économie numérique de se
développer dans l'ensemble du marché intérieur. Les personnes physiques devraient avoir le contrôle des données à
caractère personnel les concernant. La sécurité tant juridique que pratique devrait être renforcée pour les personnes
physiques, les opérateurs économiques et les autorités publiques.
Lorsque le présent règlement dispose que le droit d'un État membre peut apporter des précisions ou des limitations
aux règles qu'il prévoit, les États membres peuvent intégrer des éléments du présent règlement dans leur droit dans la
mesure nécessaire pour garantir la cohérence et pour rendre les dispositions nationales compréhensibles pour les",Pourquoi est-il important d'avoir un cadre de protection des données solide et cohérent dans l'Union européenne ?,"Il est important d'avoir un cadre de protection des données solide et cohérent dans l'Union européenne pour susciter la confiance nécessaire au développement de l'économie numérique dans l'ensemble du marché intérieur et pour renforcer la sécurité juridique et pratique des personnes physiques, des opérateurs économiques et des autorités publiques."
"mesure nécessaire pour garantir la cohérence et pour rendre les dispositions nationales compréhensibles pour les
personnes auxquelles elles s'appliquent.
Si elle demeure satisfaisante en ce qui concerne ses objectifs et ses principes, la directive 95/46/CE n'a pas permis
d'éviter une fragmentation de la mise en œuvre de la protection des données dans l'Union, une insécurité juridique ou
le sentiment, largement répandu dans le public, que des risques importants pour la protection des personnes physiques
subsistent, en particulier en ce qui concerne l'environnement en ligne. Les différences dans le niveau de protection
des droits et libertés des personnes physiques, en particulier le droit à la protection des données à caractère personnel,
à l'égard du traitement des données à caractère personnel dans les États membres peuvent empêcher le libre flux de
ces données dans l'ensemble de l'Union. Ces différences peuvent dès lors constituer un obstacle à l'exercice des",Quels problèmes la directive 95/46/CE n'a-t-elle pas réussi à résoudre dans l'Union européenne ?,"La directive 95/46/CE n'a pas réussi à éviter une fragmentation de la mise en œuvre de la protection des données, une insécurité juridique, ou le sentiment de risques importants pour la protection des personnes physiques, notamment en ligne."
"ces données dans l'ensemble de l'Union. Ces différences peuvent dès lors constituer un obstacle à l'exercice des
activités économiques au niveau de l'Union, fausser la concurrence et empêcher les autorités de s'acquitter des
obligations qui leur incombent en vertu du droit de l'Union. Ces différences dans le niveau de protection résultent de
l'existence de divergences dans la mise en œuvre et l'application de la directive 95/46/CE.
Afin d'assurer un niveau cohérent et élevé de protection des personnes physiques et de lever les obstacles aux flux de
données à caractère personnel au sein de l'Union, le niveau de protection des droits et des libertés des personnes
physiques à l'égard du traitement de ces données devrait être équivalent dans tous les États membres. Il convient dès
lors d'assurer une application cohérente et homogène des règles de protection des libertés et droits fondamentaux des",Quel est l'objectif principal de l'harmonisation des règles de protection des données au sein de l'Union européenne ?,"L'objectif principal est d'assurer un niveau cohérent et élevé de protection des personnes physiques et de lever les obstacles aux flux de données à caractère personnel au sein de l'Union, en garantissant que le niveau de protection des droits et des libertés des personnes physiques soit équivalent dans tous les États membres."
"lors d'assurer une application cohérente et homogène des règles de protection des libertés et droits fondamentaux des
personnes physiques à l'égard du traitement des données à caractère personnel dans l'ensemble de l'Union. En ce qui
concerne le traitement de données à caractère personnel nécessaire au respect d'une obligation légale, à l'exécution
d'une mission d'intérêt public ou relevant de l'exercice de l'autorité publique dont est investi le responsable du
traitement, il y a lieu d'autoriser les États membres à maintenir ou à introduire des dispositions nationales destinées à
préciser davantage l'application des règles du présent règlement. Parallèlement à la législation générale et horizontale
relative à la protection des données mettant en œuvre la directive 95/46/CE, il existe, dans les États membres,
15/07/2025 10:16 Le règlement général sur la protection des données - RGPD | CNIL
https://www.cnil.fr/fr/reglement-europeen-protection-donnees 6/47",Quel pouvoir ont les États membres concernant l'application des règles de protection des données à caractère personnel ?,"Les États membres sont autorisés à maintenir ou à introduire des dispositions nationales pour préciser davantage l'application des règles du règlement concernant le traitement de données à caractère personnel nécessaire au respect d'une obligation légale, à l'exécution d'une mission d'intérêt public ou relevant de l'exercice de l'autorité publique."
